,GILD,GILD,GILD,GILD,GILD
,open,high,low,close,volume
time,,,,,
2020-07-01 10:30:00-04:00,76.835,76.835,76.63,76.79,7119
2020-07-01 10:45:00-04:00,76.72,76.77,76.54,76.7,7204
2020-07-01 11:00:00-04:00,76.72,76.815,76.585,76.72,5893
2020-07-01 11:15:00-04:00,76.68,76.73,76.38,76.38,8427
2020-07-01 11:30:00-04:00,76.4,76.615,76.4,76.54,10056
2020-07-01 11:45:00-04:00,76.525,76.6,76.28,76.3,12820
2020-07-01 12:00:00-04:00,76.25,76.27,75.905,75.92,11338
2020-07-01 12:15:00-04:00,75.915,76.275,75.915,76.25,7711
2020-07-01 12:30:00-04:00,76.27,76.45,76.27,76.37,22358
2020-07-01 12:45:00-04:00,76.37,76.38,76.19,76.27,24809
2020-07-01 13:00:00-04:00,76.28,76.47,76.205,76.47,7399
2020-07-01 13:15:00-04:00,76.43,76.46,76.32,76.32,4506
2020-07-01 13:30:00-04:00,76.37,76.37,76.26,76.32,9397
2020-07-01 13:45:00-04:00,76.345,76.38,76.115,76.13,7879
2020-07-01 14:00:00-04:00,76.07,76.23,76.07,76.15,4907
2020-07-01 14:15:00-04:00,76.16,76.275,76.135,76.22,5053
2020-07-01 14:30:00-04:00,76.24,76.5,76.24,76.41,8577
2020-07-01 14:45:00-04:00,76.425,76.485,76.37,76.45,4592
2020-07-01 15:00:00-04:00,76.47,76.595,76.47,76.555,6182
2020-07-01 15:15:00-04:00,76.57,76.57,76.28,76.3,15428
2020-07-01 15:30:00-04:00,76.305,76.315,76.075,76.085,17724
2020-07-01 15:45:00-04:00,76.08,76.13,75.97,76.065,35360
2020-07-02 09:30:00-04:00,76.465,76.465,75.71,76.175,19912
2020-07-02 09:45:00-04:00,76.25,76.4,76.17,76.255,10695
2020-07-02 10:00:00-04:00,76.29,76.395,75.765,75.765,11479
2020-07-02 10:15:00-04:00,75.82,75.92,75.675,75.91,11400
2020-07-02 10:30:00-04:00,75.95,76.22,75.93,76.08,5456
2020-07-02 10:45:00-04:00,76.075,76.16,75.97,76.1,8175
2020-07-02 11:00:00-04:00,76.13,76.27,76.04,76.22,3719
2020-07-02 11:15:00-04:00,76.19,76.54,76.19,76.4,7141
2020-07-02 11:30:00-04:00,76.5,76.79,76.5,76.75,7291
2020-07-02 11:45:00-04:00,76.81,77.06,76.74,76.77,18811
2020-07-02 12:00:00-04:00,76.75,76.84,76.68,76.74,3383
2020-07-02 12:15:00-04:00,76.71,76.91,76.685,76.835,3866
2020-07-02 12:30:00-04:00,76.84,76.84,76.715,76.79,2877
2020-07-02 12:45:00-04:00,76.79,76.86,76.74,76.78,3912
2020-07-02 13:00:00-04:00,76.73,76.735,76.65,76.72,2794
2020-07-02 13:15:00-04:00,76.69,76.73,76.59,76.64,3576
2020-07-02 13:30:00-04:00,76.64,76.64,76.49,76.53,9387
2020-07-02 13:45:00-04:00,76.54,76.745,76.54,76.65,5395
2020-07-02 14:00:00-04:00,76.65,76.65,76.57,76.63,3593
2020-07-02 14:15:00-04:00,76.65,76.7,76.595,76.66,5324
2020-07-02 14:30:00-04:00,76.73,76.91,76.73,76.91,5846
2020-07-02 14:45:00-04:00,76.92,76.92,76.795,76.8,6273
2020-07-02 15:00:00-04:00,76.81,76.82,76.665,76.67,7968
2020-07-02 15:15:00-04:00,76.67,76.67,76.52,76.55,10642
2020-07-02 15:30:00-04:00,76.54,76.605,76.45,76.48,12549
2020-07-02 15:45:00-04:00,76.47,76.49,76.17,76.26,37806
2020-07-06 09:30:00-04:00,77.5,77.635,76.735,77.545,25293
2020-07-06 09:45:00-04:00,77.54,77.56,77.21,77.46,12678
2020-07-06 10:00:00-04:00,77.48,77.59,77.19,77.3,5529
2020-07-06 10:15:00-04:00,77.26,77.45,76.21,76.26,18794
2020-07-06 10:30:00-04:00,76.18,77.16,76.12,77.07,20808
2020-07-06 10:45:00-04:00,77.065,77.36,77.065,77.32,10380
2020-07-06 11:00:00-04:00,77.315,77.37,77.255,77.3,7009
2020-07-06 11:15:00-04:00,77.35,77.44,77.345,77.37,3538
2020-07-06 11:30:00-04:00,77.27,77.285,77.04,77.06,4063
2020-07-06 11:45:00-04:00,77.075,77.085,76.985,77.075,4140
2020-07-06 12:00:00-04:00,77.075,77.105,76.89,76.92,9112
2020-07-06 12:15:00-04:00,76.96,77.005,76.929,76.94,2214
2020-07-06 12:30:00-04:00,76.91,76.98,76.91,76.91,2364
2020-07-06 12:45:00-04:00,76.93,76.97,76.8,76.81,4007
2020-07-06 13:00:00-04:00,76.825,76.98,76.81,76.81,3308
2020-07-06 13:15:00-04:00,76.815,76.92,76.74,76.905,2705
2020-07-06 13:30:00-04:00,76.92,76.92,76.74,76.88,2331
2020-07-06 13:45:00-04:00,76.89,76.89,76.74,76.83,2249
2020-07-06 14:00:00-04:00,76.82,76.93,76.75,76.93,2368
2020-07-06 14:15:00-04:00,76.91,76.91,76.8,76.83,2835
2020-07-06 14:30:00-04:00,76.82,76.86,76.75,76.77,1889
2020-07-06 14:45:00-04:00,76.75,76.86,76.75,76.78,3016
2020-07-06 15:00:00-04:00,76.755,76.82,76.62,76.68,4076
2020-07-06 15:15:00-04:00,76.65,76.65,76.59,76.64,3540
2020-07-06 15:30:00-04:00,76.675,76.74,76.585,76.665,7818
2020-07-06 15:45:00-04:00,76.655,76.9,76.65,76.78,20392
2020-07-07 09:30:00-04:00,76.56,76.86,76.4,76.41,6655
2020-07-07 09:45:00-04:00,76.5,76.93,76.5,76.77,9667
2020-07-07 10:00:00-04:00,76.79,76.83,76.545,76.585,7083
2020-07-07 10:15:00-04:00,76.59,76.69,76.45,76.49,4354
2020-07-07 10:30:00-04:00,76.54,76.63,76.465,76.505,4456
2020-07-07 10:45:00-04:00,76.49,76.7,76.485,76.575,5745
2020-07-07 11:00:00-04:00,76.59,76.85,76.59,76.77,4666
2020-07-07 11:15:00-04:00,76.73,76.86,76.71,76.83,4411
2020-07-07 11:30:00-04:00,76.86,76.86,76.68,76.8,7263
2020-07-07 11:45:00-04:00,76.78,76.86,76.66,76.68,12748
2020-07-07 12:00:00-04:00,76.685,76.78,76.6,76.63,6134
2020-07-07 12:15:00-04:00,76.67,76.69,76.585,76.585,1876
2020-07-07 12:30:00-04:00,76.555,76.555,76.34,76.34,4909
2020-07-07 12:45:00-04:00,76.525,76.645,76.525,76.615,2423
2020-07-07 13:00:00-04:00,76.63,76.65,76.52,76.62,3582
2020-07-07 13:15:00-04:00,76.68,76.71,76.65,76.71,3194
2020-07-07 13:30:00-04:00,76.69,76.735,76.655,76.69,2084
2020-07-07 13:45:00-04:00,76.67,76.67,76.58,76.67,38590
2020-07-07 14:00:00-04:00,76.645,76.745,76.61,76.74,5110
2020-07-07 14:15:00-04:00,76.74,76.74,76.62,76.62,2474
2020-07-07 14:30:00-04:00,76.58,76.65,76.505,76.65,4181
2020-07-07 14:45:00-04:00,76.63,76.73,76.61,76.71,4251
2020-07-07 15:00:00-04:00,76.69,76.725,76.605,76.62,8365
2020-07-07 15:15:00-04:00,76.64,76.75,76.605,76.61,5913
2020-07-07 15:30:00-04:00,76.59,76.59,76.46,76.52,1701
2020-07-07 15:45:00-04:00,76.51,76.52,76.36,76.4,18792
